PatId	Patnum	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea	origCPC1	origCPC2	origCPC3	ourCPCnum1	ourCPCnum2	ourCPCnum3	GeoCode
pat0661	num-13/070 769	yr2011	Solar Inverter	Niestetal	N/A	N/A	Germany	0	Solar Inverter	H02M	Y02B		H02M	Y02E	H02J	germany
pat0430	num-12/393 009	yr2010	Solar Inverter	Mountain View  CA	CA	CA	USA	11	Solar Inverter	G05F			Y02E	H02J	G05F	Bay_Area
pat0003	num-6930238	yr2005	Solar Mounting/Rack	Tokyo	N/A	N/A	Japan	2	Solar Mounting/Rack	F24J	Y02E	H01L	F24J	Y02E	H01L	jp
pat0001	num-6914418	yr2005	Solar Inverter	Taipei	N/A	N/A	Taiwan	0	Solar Inverter	Y02E	H02J		H02M	Y02E	H02J	asia
pat0428	num-12/391 623	yr2009	Solar Mounting/Rack	Hopewell  NJ	NJ	NJ	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	F24J	Y02E	H01L	NJ
pat0166	num-7977818	yr2011	Solar Inverter	New Castle  CO	CO	CO	USA	6	Solar Inverter	Y02E	Y02B	Y02E	H02J	Y02E	H02M	CO
pat0454	num-12/525 794	yr2010	Solar Mounting/Rack	Blomberg	N/A	N/A	Germany	9	Solar Mounting/Rack	H01R	Y02E	H01L	H01L	Y02E	H01R	germany
pat0148	num-7921607	yr2011	Solar Mounting/Rack	Novato  CA	CA	CA	USA	4	Solar Mounting/Rack	Y02E	F24J	Y02B	Y02B	H01L	Y02E	Bay_Area
pat0473	num-12/581 793	yr2010	Solar Mounting/Rack	Fort Collins  CO	CO	CO	USA	8	Solar Inverter	G05F			H01L	Y02E	Y02B	CO
pat0553	num-12/846 057	yr2012	Solar Inverter	Schenectady  NY	NY	NY	USA	7	Solar Inverter	H01L	F24J	H02J	Y02E	H02J	H01L	NY
pat0540	num-12/800 917	yr2010	Solar Monitoring	Orinda  CA	CA	CA	USA	8	Solar Inverter	G01R	H04Q	H01L	H01L	Y02E	Y02B	Bay_Area
pat0189	num-8058747	yr2011	Solar Inverter	Los Gatos  CA	CA	CA	USA	0	Solar Inverter	H02M	H02J		H02M	Y02E	H02J	Bay_Area
pat0549	num-12/831 806	yr2011	Solar Mounting/Rack	Town And Country  MO	MO	MO	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	F24J	Y02E	H01L	MO
pat0330	num-11/278 916	yr2007	Solar Inverter	Victoria	N/A	N/A	Canada	11	Solar Inverter	Y02B	H02M	H02J	Y02E	H02J	G05F	canada
pat0061	num-7610174	yr2009	Solar Monitoring	Santa Clara  CA	CA	CA	USA	5	Solar Monitoring	G01R			Y04S	G06Q	Y02E	Bay_Area
pat0352	num-11/780 721	yr2008	Solar Mounting/Rack	Rochester  MI	MI	MI	USA	4	Solar Mounting/Rack	H01L	Y02B	H01L	Y02B	H01L	Y02E	MI
pat0538	num-12/794 307	yr2010	Solar Mounting/Rack	Perrysburg  OH	OH	OH	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	F24J	Y02E	H01L	OH
pat0310	num-8326535	yr2012	Site Assessment	Napa  CA	CA	CA	USA	1	Site Assessment	G01W			G01W	G06Q	G01R	Other_CA
pat0092	num-7779290	yr2010	Solar Monitoring	San Jose  CA	CA	CA	USA	5	Solar Monitoring	G06Q	Y04S	Y02E	Y04S	G06Q	Y02E	Bay_Area
pat0751	num-13/273 512	yr2012	Solar Inverter	Niestetal	N/A	N/A	Germany	11	Solar Inverter	Y02E	H02J		Y02E	H02J	G05F	germany
pat0411	num-12/322 897	yr2009	Solar Inverter	Niestetal	N/A	N/A	Germany	0	Solar Inverter	H02M	H02J		H02M	Y02E	H02J	germany
pat0444	num-12/472 938	yr2010	Solar Monitoring	Haslach	N/A	N/A	Germany	3	Solar Monitoring	G01F	H04Q		H02J	Y02E	Y02B	germany
