PatId, OrigTechArea, topicId, ourTechArea, ourCPCnum1, ourCPCnum2, ourCPCnum3 
pat462,Solar Inverter,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat477,Solar Inverter; Solar Monitoring,8,Solar Inverter,Y02E,H01L,H02J
pat35,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat536,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat132,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat614,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat118,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat755,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat844,Solar Mounting/Rack; Solar Track,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat496,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat351,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat210,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat509,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat205,Solar Inverter,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat483,Solar Inverter; Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat448,Solar Inverter,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat344,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat740,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat601,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
