PatId, OrigTechArea, topicId, ourTechArea, ourCPCnum1, ourCPCnum2, ourCPCnum3 
pat17,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat455,Solar Inverter,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat218,Solar Monitoring; Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat514,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat501,Solar Monitoring,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat387,Solar Inverter,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat440,Solar Inverter,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat783,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat748,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat609,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat329,Site Assessment,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat67,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat425,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat268,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat564,Solar Monitoring,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat160,Solar Inverter; Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat829,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat738,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat679,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat571,Solar Monitoring;  Solar Inverter,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat430,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat590,Solar Mounting/Rack,4,Solar Monitoring,H02J,Y02E,Y02B
pat257,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat93,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat58,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat316,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat712,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat803,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat653,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat698,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat646,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat181,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat707,Solar Mounting/Rack,4,Solar Monitoring,H02J,Y02E,Y02B
pat816,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat86,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat303,Solar Inverter; Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat585,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat289,Solar Inverter,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat691,Solar Mounting/Rack,14,Solar Inverter,H02M,Y02E,H02J
pat552,Solar Monitoring,12,Site Assessment,H01L,Y02E,G01R
pat599,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat295,Solar Mounting/Rack,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat51,Site Assessment,12,Site Assessment,H01L,Y02E,G01R
pat406,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat44,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat547,Solar Monitoring,8,Solar Inverter,Y02E,H01L,H02J
pat280,Solar Inverter,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat684,Solar Mounting/Rack,5,Solar Inverter,H02J,Y02E,H02M
pat188,Solar Inverter,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat169,Solar Inverter; Solar Monitoring,8,Solar Inverter,Y02E,H01L,H02J
pat665,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat835,Solar Mounting/Rack;,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat724,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat320,Solar Inverter,1,Solar Monitoring,Y04S,H04Q,Y02E
pat261,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat274,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
