PatId	Patnum	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea
pat0483	12/601 493	2010	Solar Inverter	Changwon	N/A	N/A	Taiwan	0	Solar Inverter
pat0653	13/053 784	2012	Solar Monitoring	San Jose  CA	CA	CA	USA	11	Solar Inverter
pat0426	12/384 501	2010	Solar Monitoring	Minneapolis  MN	MN	MN	USA	3	Solar Monitoring
pat0810	13/427 347	2012	Solar Mounting/Rack	Sydney	N/A	N/A	Australia	13	Solar Mounting/Rack
pat0732	13/227 652	2012	Solar Mounting/Rack	Freemont  CA	CA	CA	USA	5	Solar Monitoring
pat0561	12/856 844	2011	Solar Mounting/Rack	Colorado Springs  CO	CO	CO	USA	14	Solar Mounting/Rack
pat0508	12/719 662	2010	Solar Inverter	Niestetal	N/A	N/A	Germany	7	Solar Inverter
pat0197	8083540	2011	Solar Mounting/Rack	Berwyn  PA	PA	PA	USA	9	Solar Mounting/Rack
pat0229	8165811	2012	Site Assessment	Napa  CA	CA	CA	USA	1	Site Assessment
pat0757	13/285 942	2012	Solar Mounting/Rack	Golden  CO	CO	CO	USA	4	Solar Mounting/Rack
pat0161	7962249	2011	Solar Monitoring	Santa Clara  CA	CA	CA	USA	3	Solar Monitoring
pat0177	8019117	2011	Site Assessment	Tokyo	N/A	N/A	Japan	1	Site Assessment
pat0013	7158395	2007	Solar Inverter	Dearborn  MI	MI	MI	USA	11	Solar Inverter
pat0796	13/402 769	2012	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	12	Solar Mounting/Rack
pat0224	8148832	2012	Solar Monitoring	Waterford  MI	MI	MI	USA	3	Solar Monitoring
pat0611	12/959 100	2011	Solar Mounting/Rack	Brick  NJ	NJ	NJ	USA	14	Solar Mounting/Rack
pat0496	12/658 510	2011	Solar Mounting/Rack	Sarasota  FL	FL	FL	USA	14	Solar Mounting/Rack
pat0043	7471073	2008	Solar Inverter	Niestetal	N/A	N/A	Germany	11	Solar Inverter
pat0649	13/045 793	2012	Solar Inverter	New Taipei City	N/A	N/A	Taiwan	9	Solar Mounting/Rack
pat0480	12/597 005	2010	Solar Mounting/Rack	Schwedt	N/A	N/A	Germany	14	Solar Mounting/Rack
pat0364	11/944 816	2008	Solar Inverter	Puslinch  CA	CA	CA	USA	7	Solar Inverter
pat0446	12/483 022	2010	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	4	Solar Mounting/Rack
pat0078	7732949	2010	Solar Monitoring	Armonk  NY	NY	NY	USA	5	Solar Monitoring
pat0725	13/209 730	2012	Solar Mounting/Rack	Mountain View  CA	CA	CA	USA	2	Solar Mounting/Rack
pat0398	12/229 893	2010	Solar Monitoring	Schenectady  NY	NY	NY	USA	7	Solar Inverter
pat0373	12/075 588	2009	Solar Inverter	Schenectady  NY	NY	NY	USA	0	Solar Inverter
pat0254	8207630	2012	Solar Inverter	North Andover MA	MA	MA	USA	7	Solar Inverter
pat0748	13/267 606	2012	Solar Mounting/Rack	San Luis Obispo  CA	CA	CA	USA	14	Solar Mounting/Rack
pat0170	8004113	2011	Solar Monitoring	Cupertino  CA	CA	CA	USA	6	Solar Inverter
pat0271	8234824	2012	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	2	Solar Mounting/Rack
pat0453	12/505877	2011	Solar Inverter	Schenectady  NY	NY	NY	USA	11	Solar Inverter
pat0779	13/347 383	2012	Solar Mounting/Rack	Milpitas  CA	CA	CA	USA	13	Solar Mounting/Rack
pat0350	11/777 391	2009	Solar Monitoring	Menlo Park  CA	CA	CA	USA	8	Solar Inverter
pat0525	12/768 637	2010	Solar Mounting/Rack	Wuxi	N/A	N/A	China	9	Solar Mounting/Rack
pat0109	7823583	2010	Solar Mounting/Rack	Pasadena  CA	CA	CA	USA	2	Solar Mounting/Rack
pat0084	7750502	2010	Solar Monitoring	Stafford  TX	TX	TX	USA	3	Solar Monitoring
pat0180	8023288	2011	Solar Inverter	Niestetal	N/A	N/A	Germany	0	Solar Inverter
pat0582	12/902 730	2012	Solar Inverter	Livermore  CA	CA	CA	USA	11	Solar Inverter
pat0138	7893346	2011	Solar Inverter	Glen Mills  PA	PA	PA	USA	7	Solar Inverter
pat0237	8177566	2012	Solar Mounting/Rack	Detmold	N/A	N/A	Germany	9	Solar Mounting/Rack
pat0746	13/254 666	2011	Solar Monitoring	Fort Collins  CO	CO	CO	USA	11	Solar Inverter
pat0358	11/855 390	2009	Solar Inverter	San Jose  CA	CA	CA	USA	3	Solar Monitoring
pat0103	7813153	2010	Solar Inverter	Niestetal	N/A	N/A	Germany	0	Solar Inverter
pat0745	13/253 960	2012	Solar Mounting/Rack	Buffalo  NY	NY	NY	USA	14	Solar Mounting/Rack
pat0269	8228697	2012	Solar Inverter	Schenectady  NY	NY	NY	USA	11	Solar Inverter
pat0204	8102074	2012	Solar Inverter	Los Gatos  CA	CA	CA	USA	11	Solar Inverter
pat0668	13/084 553	2012	Solar Monitoring	Dallas  TX	TX	TX	USA	5	Solar Monitoring
pat0747	13/256 134	2012	Site Assessment	Leganes	N/A	N/A	Spain	5	Solar Monitoring
pat0071	7678991	2010	Solar Mounting/Rack	Dallas  TX	TX	TX	USA	13	Solar Mounting/Rack
pat0347	11/711 522	2007	Solar Mounting/Rack	London	N/A	N/A	Great Britain	13	Solar Mounting/Rack
pat0437	12/430 793	2010	Solar Mounting/Rack	Dana Point  CA	CA	CA	USA	12	Solar Mounting/Rack
