PatId	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea	ourCPCnum1	ourCPCnum2	ourCPCnum3
pat0506	2008	Solar Monitoring	New Port Richey  FL	FL	FL	USA	6	Solar Monitoring	G01R	Y04S	Y02B
pat0361	2005	Solar Inverter	Hamburg			Germany	9	Solar Mounting/Rack	Y02E	H01L	F24J
pat0220	2012	Solar Monitoring- Solar Inverter	Albuquerque  NM	NM	NM	USA	6	Solar Monitoring	G01R	Y04S	Y02B
pat0624	2010	Solar Mounting/Rack	Providence  RI	RI	RI	USA	3	Solar Mounting/Rack	H01L	Y02E	F24J
pat0128	2011	Solar Mounting/Rack	Osaka-shi			Japan	1	Solar Mounting/Rack	H01L	Y02E	F24J
pat0069	2010	Solar Inverter	Wagen			Germany	7	Solar Mounting/Rack	Y02B	H01L	Y02E
pat0631	2010	Solar Mounting/Rack	Boston  MA	MA	MA	USA	3	Solar Mounting/Rack	H01L	Y02E	F24J
pat0539	2011	Solar Monitoring	Los Gatos  CA	CA	CA	USA	5	Solar Mounting/Rack	Y02E	H01L	Y02B
pat0235	2012	Solar Monitoring	Schenectady  NY	NY	NY	USA	0	Solar Inverter	Y02E	H02J	H02M
pat0478	2011	Solar Inverter- Solar Monitoring	Dimbach			Germany	2	Solar Inverter	H02J	Y02E	H02M
pat0374	2012	Solar Inverter	Petaluma  CA	CA	CA	USA	14	Solar Inverter	H02M	Y02E	Y02B
pat0100	2010	Solar Monitoring	Richardson  TX	TX	TX	USA	4	Solar Monitoring	H02J	Y02B	Y02E
pat0504	2007	Solar Monitoring	Puslinch  CA	CA	CA	USA	6	Solar Monitoring	G01R	Y04S	Y02B
pat0208	2012	Solar Monitoring	Ben Lomond  CA	CA	CA	USA	0	Solar Inverter	Y02E	H02J	H02M
pat0445	2011	Solar Inverter	San Jose  CA	CA	CA	USA	8	Solar Inverter	Y02E	H02J	G01R
pat0382	2010	Solar Inverter	Schenectady  NY	NY	NY	USA	14	Solar Inverter	H02M	Y02E	Y02B
pat0349	2011	Solar Inverter	Fort Collins  CO	CO	CO	USA	12	Solar Inverter	Y02E	H02J	H02M
pat0450	2007	Solar Inverter	Livermore  CA	CA	CA	USA	12	Solar Inverter	Y02E	H02J	H02M
pat0397	2008	Solar Inverter	Colorado Springs  CO	CO	CO	USA	4	Solar Monitoring	H02J	Y02B	Y02E
pat0511	2008	Solar Monitoring	Hroznetin  CZ; Austin  TX	TX	TX	USA; CZ	6	Solar Monitoring	G01R	Y04S	Y02B
pat0619	2010	Solar Mounting/Rack	Town And Country  MO	USA	USA	USA	9	Solar Mounting/Rack	Y02E	H01L	F24J
pat0633	2011	Solar Mounting/Rack	Westport  CT	CT	CT	USA	3	Solar Mounting/Rack	H01L	Y02E	F24J
pat0376	2010	Solar Inverter	Narragansett  RI	RI	RI	USA	0	Solar Inverter	Y02E	H02J	H02M
pat0222	2012	Solar Mounting/Rack- Solar Monitoring	Durham  NC	NC	NC	USA	1	Solar Mounting/Rack	H01L	Y02E	F24J
pat0363	2011	Solar Inverter	TAOYUAN HSIEN			Taiwan	12	Solar Inverter	Y02E	H02J	H02M
pat0626	2010	Solar Mounting/Rack	Stamford  CT	CT	CT	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0473	2011	Solar Inverter	Austin  TX	TX	TX	USA	12	Solar Inverter	Y02E	H02J	H02M
pat0532	2012	Solar Monitoring	Cambridge  GB	N/A	N/A	Great Britain	8	Solar Inverter	Y02E	H02J	G01R
pat0136	2011	Solar Mounting/Rack	Richmond  CA	WA	WA	USA	9	Solar Mounting/Rack	Y02E	H01L	F24J
pat0077	2010	Solar Inverter	Fort Collins  CO	CO	CO	USA	1	Solar Mounting/Rack	H01L	Y02E	F24J
pat0062	2009	Solar Inverter- Solar Mounting/Rack	Fort Collins  CO	CO	CO	USA	14	Solar Inverter	H02M	Y02E	Y02B
pat0123	2010	Solar Inverter	Petaluma  CA	CA	CA	USA	0	Solar Inverter	Y02E	H02J	H02M
pat0527	2011	Solar Monitoring	Belo Horizonte	N/A	N/A	Brazil	6	Solar Monitoring	G01R	Y04S	Y02B
pat0466	2011	Solar Inverter	Cambridge			United Kingdom	3	Solar Mounting/Rack	H01L	Y02E	F24J
pat0201	2012	Solar Inverter	Niestetal			Germany	14	Solar Inverter	H02M	Y02E	Y02B
pat0487	2012	Solar Inverter- Solar Monitoring	Seoul			South Korea	13	Solar Inverter	H01L	F05B	Y02E
pat0340	2010	Solar Inverter	Zurich			Switzerland	14	Solar Inverter	H02M	Y02E	Y02B
pat0083	2010	Solar Mounting/Rack	Albuquerque  NM	NM	NM	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0048	2009	Solar Monitoring	Ocala  FL	FL	FL	USA	11	Solar Monitoring	H04Q	Y04S	G01D
pat0605	2009	Solar Mounting/Rack	Alameda  CA	USA	USA	USA	5	Solar Mounting/Rack	Y02E	H01L	Y02B
pat0109	2010	Solar Mounting/Rack	Pasadena  CA	CA	CA	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0610	2007	Solar Mounting/Rack	London			Great Britain	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0459	2006	Solar Inverter	Bend  OR	OR	OR	USA	3	Solar Mounting/Rack	H01L	Y02E	F24J
pat0492	2011	Solar Inverter- Solar Monitoring	San Jose  CA	CA	CA	USA	0	Solar Inverter	Y02E	H02J	H02M
pat0355	2009	Solar Inverter	Austin  TX	TX	TX	USA	13	Solar Inverter	H01L	F05B	Y02E
pat0518	2012	Solar Monitoring	Los Gatos  CA	CA	CA	USA	0	Solar Inverter	Y02E	H02J	H02M
pat0214	2012	Solar Inverter-	Rancocas  NJ	NJ	NJ	USA	0	Solar Inverter	Y02E	H02J	H02M
pat0734	2009	Solar Mounting/Rack	Dulles  VA	USA	USA	USA	3	Solar Mounting/Rack	H01L	Y02E	F24J
pat0038	2008	Solar Inverter	Bend  OR	OR	OR	USA	2	Solar Inverter	H02J	Y02E	H02M
pat0675	2008	Solar Mounting/Rack	Albuquerque  NM	NM	NM	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0179	2011	Solar Inverter	Westford  MA	MA	MA	USA	1	Solar Mounting/Rack	H01L	Y02E	F24J
pat0330	2008	Site Assessment	Bolinas  CA	CA	CA	USA	6	Solar Monitoring	G01R	Y04S	Y02B
pat0429	2012	Solar Inverter	Niestetal			Germany	2	Solar Inverter	H02J	Y02E	H02M
pat0325	2007	Solar Inverter	Raanana  IL	IL	IL	USA	6	Solar Monitoring	G01R	Y04S	Y02B
pat0568	2009	Solar Monitoring	Zhangzhou  CN			CN	8	Solar Inverter	Y02E	H02J	G01R
pat0264	2012	Solar Inverter	Niestetal			Germany	14	Solar Inverter	H02M	Y02E	Y02B
pat0660	2012	Solar Mounting/Rack	Valley Forge  PA	PA	PA	USA	7	Solar Mounting/Rack	Y02B	H01L	Y02E
pat0721	2006	Solar Mounting/Rack	Palo Alto  Ca	CA	CA	USA	1	Solar Mounting/Rack	H01L	Y02E	F24J
pat0146	2011	Solar Monitoring	Schenectady  NY	NY	NY	USA	9	Solar Mounting/Rack	Y02E	H01L	F24J
pat0681	2010	Solar Mounting/Rack	Stamford  CT	CT	CT	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0007	2005	Solar Mounting/Rack	Perrysburg  OH	OH	OH	USA	7	Solar Mounting/Rack	Y02B	H01L	Y02E
pat0403	2010	Solar Inverter	Menomonee Falls  WI	WI	WI	USA	8	Solar Inverter	Y02E	H02J	G01R
pat0589	2008	Solar Mounting/Rack				USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0542	2009	Solar Monitoring	Minneapolis  MN	MN	MN	USA	4	Solar Monitoring	H02J	Y02B	Y02E
pat0557	2012	Solar Monitoring	Niestetal			Germany	8	Solar Inverter	Y02E	H02J	G01R
pat0012	2007	Solar Mounting/Rack	Pasadena  CA	CA	CA	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0153	2011	Solar Inverter	Sunnyvale  CA	CA	CA	USA	0	Solar Inverter	Y02E	H02J	H02M
pat0694	2011	Solar Mounting/Rack	Freemont  CA	CA	CA	USA	13	Solar Inverter	H01L	F05B	Y02E
pat0580	2011	Solar Monitoring- Solar Inverter	Niestetal			Germany	4	Solar Monitoring	H02J	Y02B	Y02E
pat0184	2011	Solar Inverter-	Petaluma  CA	CA	CA	USA	2	Solar Inverter	H02J	Y02E	H02M
pat0688	2010	Solar Mounting/Rack	Publicly Traded	Solar electronics and power management; inverter manufacturer	Solar electronics and power management; inverter manufacturer	USA	3	Solar Mounting/Rack	H01L	Y02E	F24J
pat0643	2011	Solar Mounting/Rack	Tossicia  IT			Italy	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0702	2011	Solar Mounting/Rack	Pontiac  MI	MI	MI	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0717	2010	Solar Mounting/Rack	Santa Clara  CA	CA	CA	USA	3	Solar Mounting/Rack	H01L	Y02E	F24J
pat0656	2009	Solar Mounting/Rack	Warrenville  IL	IL	IL	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0252	2012	Solar Monitoring	Moorpark  CA	CA	CA	USA	4	Solar Monitoring	H02J	Y02B	Y02E
pat0595	2010	Solar Mounting/Rack	Tarnow			Poland	1	Solar Mounting/Rack	H01L	Y02E	F24J
pat0313	2012	Site Assessment	Napa  CA	CA	CA	USA	11	Solar Monitoring	H04Q	Y04S	G01D
pat0574	2010	Solar Monitoring-  Solar Inverter	Milwaukee  WI	WI	WI	USA	3	Solar Mounting/Rack	H01L	Y02E	F24J
pat0278	2012	Solar Inverter	Perrysburg  OH	OH	OH	USA	14	Solar Inverter	H02M	Y02E	Y02B
pat0435	2011	Solar Inverter	Austin  TX	TX	TX	USA	2	Solar Inverter	H02J	Y02E	H02M
pat0339	2012	Solar Inverter	Zurich			Switzerland	8	Solar Inverter	Y02E	H02J	G01R
pat0031	2008	Solar Inverter	Chicago  IL	IL	IL	USA	2	Solar Inverter	H02J	Y02E	H02M
pat0170	2011	Solar Monitoring	Cupertino  CA	CA	CA	USA	4	Solar Monitoring	H02J	Y02B	Y02E
pat0669	2010	Solar Mounting/Rack	Midland  MI	USA	USA	USA	7	Solar Mounting/Rack	Y02B	H01L	Y02E
pat0165	2011	Solar Mounting/Rack	Armonk  NY	NY	NY	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0728	2009	Solar Mounting/Rack	Sunnyvale  CA	CA	CA	USA	9	Solar Mounting/Rack	Y02E	H01L	F24J
pat0024	2007	Solar Monitoring	Henderson  NV	NV	NV	USA	11	Solar Monitoring	H04Q	Y04S	G01D
pat0420	2011	Solar Inverter	ALTDORF			USA	3	Solar Mounting/Rack	H01L	Y02E	F24J
