pid, patent #, tech area, city, state, country, url, status, cpc_class
pat695,0,Solar Mounting/Rack,Schaan,,Liechtenstein,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110278411%22.PGNR.&OS=DN/20110278411&RS=DN/20110278411,valid,F24J 2/5239 20130101; Y02B 10/12 20130101; Y02B 10/20 20130101; Y02E 10/47 20130101
pat696,0,Solar Mounting/Rack,Golden CO,CO,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120110931%22.PGNR.&OS=DN/20120110931&RS=DN/20120110931,valid,F24J 2/5237 20130101; F24J 2/5243 20130101; F24J 2/5245 20130101; F24J 2002/4659 20130101; F24J 2002/5294 20130101; H01L 31/0484 20130101; H01L 31/0521 20130101; Y02B 10/12 20130101; Y02B 10/20 20130101; Y02E 10/47 20130101
pat697,0,Solar Mounting/Rack,Armonk NY,NY,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120152306%22.PGNR.&OS=DN/20120152306&RS=DN/20120152306,valid,H01L 31/0422 20130101; H01L 31/045 20130101; H01L 31/05 20130101
pat698,1/999,Solar Mounting/Rack,Pontiac MI,USA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=13&f=G&l=50&d=PG01&s1=mounting.CLM.&s2=photovoltaic.CLM.&co1=AND&p=1&OS=ACLM/mounting+AND+ACLM/photovoltaic&RS=ACLM/mounting+AND+ACLM/photovoltaic,no CPC,
pat699,0,Solar Mounting/Rack,Pontiac MI,MI,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110233157%22.PGNR.&OS=DN/20110233157&RS=DN/20110233157,valid,F24J 2/5233 20130101; F24J 2/5239 20130101; F24J 2/5245 20130101; F24J 2/5252 20130101; F24J 2/5264 20130101; F24J 2002/5294 20130101; H01L 31/0422 20130101; H01L 31/0482 20130101; Y02B 10/12 20130101; Y02B 10/20 20130101; Y02E 10/50 20130101
pat700,0,Solar Mounting/Rack,Pacific Palisades CA,CA,USA,http://www.google.com/patents/US20100206303?dq=12/%09389286&ei=i9YrULaLC-bnyAHGxIGQAQ,invalid url,
pat701,0,Solar Mounting/Rack,Osaka-sh,,Japan,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120304559%22.PGNR.&OS=DN/20120304559&RS=DN/20120304559,no CPC,
pat702,0,Solar Mounting/Rack,Nunawading,Australia,Australia,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110126881%22.PGNR.&OS=DN/20110126881&RS=DN/20110126881,valid,F24J 2/5205 20130101; F24J 2/5258 20130101; F24J 2/526 20130101; F24J 2002/5215 20130101; F24J 2002/5226 20130101; F24J 2002/5281 20130101; H01L 31/0422 20130101; H01L 31/0482 20130101; Y02E 10/47 20130101; Y02E 10/50 20130101
pat703,Nov 1,Solar Mounting/Rack,,,Japan,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220050217716%22.PGNR.&OS=DN/20050217716&RS=DN/20050217716,valid,F24J 2/4638 20130101; F24J 2/5235 20130101; F24J 2/5239 20130101; F24J 2/526 20130101; F24J 2002/5292 20130101; H01L 31/0422 20130101; H01L 31/0482 20130101; Y02B 10/12 20130101; Y02B 10/20 20130101; Y02E 10/47 20130101; Y02E 10/50 20130101
pat704,0,Solar Mounting/Rack,Rochester MI,MI,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120260588%22.PGNR.&OS=DN/20120260588&RS=DN/20120260588,valid,H01L 31/048 20130101; H01L 31/0482 20130101; Y02B 10/12 20130101; Y02B 10/20 20130101; Y02E 10/50 20130101
pat705,0,Solar Mounting/Rack,San Luis Obispo CA,CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120085394%22.PGNR.&OS=DN/20120085394&RS=DN/20120085394,valid,H01L 31/0422 20130101; H01L 31/0424 20130101
pat706,0,Solar Mounting/Rack,Dana Point CA,USA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100269889%22.PGNR.&OS=DN/20100269889&RS=DN/20100269889,valid,F24J 2/5232 20130101; F24J 2002/5486 20130101; H01L 31/0422 20130101; Y02B 10/12 20130101; Y02B 10/20 20130101; Y02E 10/47 20130101; Y02E 10/50 20130101
pat707,0,Solar Mounting/Rack,Santa Clara CA,CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=2&f=G&l=50&co1=AND&d=PG01&s1=%22639428%22.APN.&OS=APN/%22639428%22&RS=APN/%22639428%22,valid,G05B 19/042 20130101; G05B 2219/2619 20130101
pat708,0,Solar Mounting/Rack,Santa Clara CA,CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=436&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=9&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,valid,G01R 15/146 20130101; G01R 19/0092 20130101; G01R 27/18 20130101
pat709,0,Solar Mounting/Rack,Santa Clara CA,CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=356&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=8&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,valid,F24J 2/16 20130101; F24J 2/4638 20130101; F24J 2/541 20130101; H01L 31/0422 20130101; H01L 31/0525 20130101; Y02E 10/47 20130101; Y02E 10/52 20130101
pat710,0,Solar Mounting/Rack,Santa Clara CA,CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=59&f=G&l=50&d=PG01&s1=mounting.CLM.&s2=photovoltaic.CLM.&co1=AND&p=2&OS=ACLM/mounting+AND+ACLM/photovoltaic&RS=ACLM/mounting+AND+ACLM/photovoltaic,valid,F24J 2/5205 20130101; F24J 2/5211 20130101; F24J 2/5245 20130101; F24J 2/5254 20130101; F24J 2/5258 20130101; F24J 2/5264 20130101; F24J 2002/4658 20130101; F24J 2002/529 20130101; F24J 2002/5486 20130101; H01L 31/0422 20130101; Y02B 10/12 20130101; Y02E 10/47 20130101; Y02E 10/50 20130101
pat711,0,Solar Mounting/Rack,Santa Clara CA,CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=58&f=G&l=50&d=PG01&s1=mounting.CLM.&s2=photovoltaic.CLM.&co1=AND&p=2&OS=ACLM/mounting+AND+ACLM/photovoltaic&RS=ACLM/mounting+AND+ACLM/photovoltaic,valid,C12M 21/02 20130101; C12M 43/08 20130101
pat712,0,Solar Mounting/Rack,Santa Clara CA,CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=57&f=G&l=50&d=PG01&s1=mounting.CLM.&s2=photovoltaic.CLM.&co1=AND&p=2&OS=ACLM/mounting+AND+ACLM/photovoltaic&RS=ACLM/mounting+AND+ACLM/photovoltaic,no CPC,
