pid, patent #, year,  tech area, title, city, state, country, url, status, cpc_class,cpc1,cpc2,cpc3
pat0538,12/794 307,2010,Solar Mounting/Rack,PHOTOVOLTAIC MODULE GROUND MOUNT,Perrysburg  OH,OH,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100307991%22.PGNR.&OS=DN/20100307991&RS=DN/20100307991,valid,F24J 2/5232 20130101; F24J 2/5264 20130101; F24J 2002/5277 20130101; H01L 31/0422 20130101; Y02E 10/47 20130101; Y02E 10/50 20130101,F24J,Y02E,H01L
pat0539,12/795032,2011,Solar Monitoring,PROTECTION  MONITORING OR INDICATION APPARATUS FOR A DIRECT CURRENT ELECTRICAL GENERATING APPARATUS OR A PLURALITY OF STRINGS ,Cleveland  OH,OH,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110301772%22.PGNR.&OS=DN/20110301772&RS=DN/20110301772,valid,H02H 3/04 20130101; H02H 7/20 20130101; Y02E 10/56 20130101,H02H,Y02E,
pat0540,12/800 917,2010,Solar Monitoring,Solar photovoltaic modules with integral wireless telemetry ,Orinda  CA,CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100300509%22.PGNR.&OS=DN/20100300509&RS=DN/20100300509,valid,G01R 31/3025 20130101; G01R 31/405 20130101; H01L 31/02021 20130101; H04Q 9/00 20130101,G01R,H04Q,H01L
pat0541,12/802 094,2011,Solar Mounting/Rack,Mounting for solar panels,Hamilton,N/A,New Zealand,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110083381%22.PGNR.&OS=DN/20110083381&RS=DN/20110083381,valid,F24J 2/5237 20130101; F24J 2/5239 20130101; F24J 2002/4692 20130101; H01L 31/0482 20130101; H01L 31/0484 20130101; Y02B 10/12 20130101; Y02B 10/22 20130101; Y02E 10/47 20130101; Y02E 10/50 20130101,F24J,Y02E,H01L
pat0542,12/802 231,2010,Site Assessment,Shade analysis device ,Surrey  CA,CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100302363%22.PGNR.&OS=DN/20100302363&RS=DN/20100302363,valid,G01C 15/00 20130101; G01W 1/12 20130101,G01W,G01C,
pat0543,12/803 913,2010,Solar Mounting/Rack,Roof mounting bracket for photovoltaic power generation system,Grass Valley  CA,CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100313501%22.PGNR.&OS=DN/20100313501&RS=DN/20100313501,valid,F24J 2/52 20130101; F24J 2/5205 20130101; F24J 2/5211 20130101; F24J 2/5228 20130101; F24J 2002/0061 20130101; Y02B 10/12 20130101,F24J,Y02B,
pat0544,12/813 036,2011,Solar Monitoring,Solar Photovoltaic Module Safety Shutdown System,Scottsdale  AZ,AZ,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110088741%22.PGNR.&OS=DN/20110088741&RS=DN/20110088741,valid,H01L 31/02021 20130101; H01L 31/042 20130101; H03K 17/691 20130101; H03K 17/7955 20130101,H01L,H03K,
pat0545,12/818 305,2010,Solar Inverter,STARTUP SOURCE INVERTER,Dresden,N/A,Germany,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=1&f=G&l=50&co1=AND&d=PG01&s1=818305.APN.&OS=APN/818305&RS=APN/818305,valid,H02J 3/42 20130101; Y02E 10/563 20130101,Y02E,H02J,
pat0546,12/818 504,2011,Solar Mounting/Rack,BUILDING-INTEGRATED SOLAR-PANEL ROOF ELEMENT SYSTEMS,Wilmington  DE,DE,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110138710%22.PGNR.&OS=DN/20110138710&RS=DN/20110138710,valid,F24J 2/045 20130101; F24J 2/5228 20130101; F24J 2002/4692 20130101; H01L 31/0422 20130101; H01L 31/0482 20130101; Y02B 10/12 20130101; Y02B 10/20 20130101; Y02E 10/44 20130101; Y02E 10/47 20130101; Y02E 10/50 20130101,Y02E,F24J,Y02E
pat0547,12/823 006,2010,Solar Mounting/Rack,SOLAR SHINGLE SYSTEM,Coppell  TX,TX,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100325976%22.PGNR.&OS=DN/20100325976&RS=DN/20100325976,valid,E04D 1/20 20130101; E04D 1/30 20130101; H01L 31/0482 20130101; H01L 31/05 20130101; Y02B 10/12 20130101; Y02E 10/50 20130101,E04D,H01L,E04D
