"PatId"	"Yeartxt"	"OrigTechArea"	"city"	"state"	"state"	"country"	"topicId"	"ourTechArea"	"origCPC1"	"origCPC2"	"origCPC3"	"ourCPCnum1"	"ourCPCnum2"	"ourCPCnum3"	"GeoCode"	"Year"	"TopicId-Id"	"count1"	"Patnum"
"pat0770"	"yr2012"	"Solar Inverter"	"Boulder  CO"	"CO"	"CO"	"USA"	0	"Solar Inverter"	"Y02B"	"Y02E"	"H01L"	"H02M"	"Y02E"	"H02J"	"CO"	2012	"topic-00"	1	"num-13/318 589"
"pat0421"	"yr2009"	"Solar Mounting/Rack"	"Santa Clara  CA"	"CA"	"CA"	"USA"	14	"Solar Mounting/Rack"	"F24J"	"Y02E"	"H01L"	"F24J"	"Y02E"	"H01L"	"Bay_Area"	2009	"topic-14"	1	"num-12/368 887"
"pat0419"	"yr2009"	"Solar Mounting/Rack"	"Warrenville  IL"	"IL"	"IL"	"USA"	2	"Solar Mounting/Rack"	"F24J"	"H01L"	"F24J"	"F24J"	"Y02E"	"H01L"	"IL"	2009	"topic-02"	1	"num-12/362 671"
"pat0239"	"yr2012"	"Solar Inverter"	"Niskayuna  NY"	"NY"	"NY"	"USA"	0	"Solar Inverter"	"Y02E"	"H01L"	"H02M"	"H02M"	"Y02E"	"H02J"	"NY"	2012	"topic-00"	1	"num-8184460"
"pat0336"	"yr2008"	"Solar Mounting/Rack"	"San Jose  CA"	"CA"	"CA"	"USA"	8	"Solar Inverter"	"B23K"	"H01L"	"B23K"	"H01L"	"Y02E"	"Y02B"	"Bay_Area"	2008	"topic-08"	1	"num-11/465 787"
"pat0328"	"yr2005"	"Solar Mounting/Rack"	"Kyoto"	"N/A"	"N/A"	"Japan"	2	"Solar Mounting/Rack"	"F24J"	"Y02E"	"H01L"	"F24J"	"Y02E"	"H01L"	"jp"	2005	"topic-02"	1	"num-11/046 201"
"pat0564"	"yr2012"	"Solar Monitoring"	"Moriguchi City"	"N/A"	"N/A"	"Japan"	7	"Solar Inverter"	"G01R"			"Y02E"	"H02J"	"H01L"	"jp"	2012	"topic-07"	1	"num-12/862 205"
"pat0662"	"yr2012"	"Solar Monitoring"	"Los Gatos  CA"	"CA"	"CA"	"USA"	12	"Solar Mounting/Rack"	"H02H"	"H01L"		"Y02E"	"H01L"	"F24J"	"Bay_Area"	2012	"topic-12"	1	"num-13/075 093"
"pat0572"	"yr2012"	"Solar Monitoring"	"Schenectady  NY"	"NY"	"NY"	"USA"	3	"Solar Monitoring"	"G06F"			"H02J"	"Y02E"	"Y02B"	"NY"	2012	"topic-03"	1	"num-12/892 130"
"pat0127"	"yr2011"	"Solar Mounting/Rack"	"Saratoga  CA"	"CA"	"CA"	"USA"	12	"Solar Mounting/Rack"	"F24J"	"Y02E"	"H01L"	"Y02E"	"H01L"	"F24J"	"Bay_Area"	2011	"topic-12"	1	"num-7866098"
"pat0243"	"yr2012"	"Solar Mounting/Rack"	"Berwyn  PA"	"PA"	"PA"	"USA"	9	"Solar Mounting/Rack"	"H01R"	"Y02E"	"H01L"	"H01L"	"Y02E"	"H01R"	"PA"	2012	"topic-09"	1	"num-8192233"
"pat0560"	"yr2011"	"Solar Mounting/Rack"	"Colorado Springs  CO"	"CO"	"CO"	"USA"	14	"Solar Mounting/Rack"	"F24J"	"H01L"	"Y02B"	"F24J"	"Y02E"	"H01L"	"CO"	2011	"topic-14"	1	"num-12/856 827"
"pat0448"	"yr2011"	"Solar Monitoring"	"Snoqualmie  WA"	"WA"	"WA"	"USA"	9	"Solar Mounting/Rack"	"H02J"	"Y02B"		"H01L"	"Y02E"	"H01R"	"WA"	2011	"topic-09"	1	"num-12/491 641"
"pat0011"	"yr2007"	"Solar Mounting/Rack"	"Berkeley  CA"	"CA"	"CA"	"USA"	2	"Solar Mounting/Rack"	"E04D"	"F24J"	"Y02E"	"F24J"	"Y02E"	"H01L"	"Bay_Area"	2007	"topic-02"	1	"num-7155870"
"pat0002"	"yr2005"	"Solar Mounting/Rack"	"Tucson  AZ"	"AZ"	"AZ"	"USA"	13	"Solar Mounting/Rack"	"Y02B"	"H01L"	"Y02E"	"H01L"	"Y02E"	"F24J"	"AZ"	2005	"topic-13"	1	"num-6928775"
