pat_id, title, USPA#, kind_code, date, serial#, series_code, field_date, us_class, pub_class, int_class, assignee, city, state
pat3405, BARRIER LAYER  COMPOSITE ARTICLE COMPRISING THE SAME  ELECTROACTIVE DEVICE  AND METHOD, 20080138539, A1, June 12  2008, 567308, 11, December 6  2006, 428/1.1 ; 427/80; 428/457; 428/458; 428/469; 428/690, 428/1.1 ; 427/80; 428/457; 428/458; 428/469; 428/690, H01L 51/5253 20130101; H01L 51/5256 20130101, , , 
pat3406, Seismic sensor housing  seismic sensor  and seismic acquisition system made therewith, 20080137484, A1, June 12  2008, 634604, 11, December 6  2006, 367/188, 367/188, G01V 1/184 20130101; G01V 1/186 20130101, , , 
pat3407, Shield for solar radiation collector, 20080137205, A1, June 12  2008, 635292, 11, December 7  2006, 359/601 ; 359/858, 359/601 ; 359/858, F24J 2/18 20130101; F24J 2002/1014 20130101; G02B 17/0684 20130101; Y02E 10/40 20130101, , , 
pat3408, Vision modification with reflected image, 20080137031, A1, June 12  2008, 982411, 11, October 31  2007, 351/159.67, 351/168, A61B 3/12 20130101; G02C 7/081 20130101; G02C 7/083 20130101; G02C 7/085 20130101, , , 
pat3409, Automated Leveling Apparatus, 20080135384, A1, June 12  2008, 024654, 12, February 1  2008, 200/61.52, 200/61.52, G01C 5/02 20130101, , , 
pat3410, RIGGING SYSTEM FOR SUPPORTING AND POINTING SOLAR CONCENTRATOR ARRAYS, 20080135095, A1, June 12  2008, 844888, 11, August 24  2007, 136/259 ; 136/252; 29/592.1; 422/186, 136/259 ; 136/252; 422/186; 29/592.1, H01L 31/042 20130101; H01L 31/052 20130101; H01L 31/0522 20130101; Y02E 10/52 20130101, , , 
pat3411, Photovoltaic roof tiles and methods of making same, 20080135094, A1, June 12  2008, 804399, 11, May 18  2007, 136/259, 136/259, H01L 31/0483 20130101; H01L 31/052 20130101; Y02B 10/12 20130101; Y02E 10/50 20130101, , , 
pat3412, Solar roof tiles with heat exchange, 20080135092, A1, June 12  2008, 804657, 11, May 18  2007, 136/256 ; 136/259, 136/256 ; 136/259, H01L 31/0483 20130101; H01L 31/05 20130101; H01L 31/052 20130101; Y02B 10/12 20130101; Y02B 10/20 20130101; Y02E 10/50 20130101, , , 
pat3413, PROCESS AND DEVICE TO PRODUCE A SOLAR PANEL WITH ENHANCED LIGHT CAPTURE, 20080135091, A1, June 12  2008, 947847, 11, November 30  2007, 136/252 ; 156/60, 136/252 ; 156/60, B32B 17/10018 20130101; B32B 17/10743 20130101; B32B 2327/12 20130101; H01L 31/048 20130101; Y02E 10/52 20130101, , , 
pat3414, Solar roof tiles with heat exchange and methods of making thereof, 20080135090, A1, June 12  2008, 804656, 11, May 18  2007, 136/251 ; 136/259, 136/251 ; 136/259, B29C 45/14639 20130101; B29C 45/1671 20130101; H01L 31/0483 20130101; H01L 31/05 20130101; H01L 31/052 20130101; Y02B 10/12 20130101; Y02B 10/20 20130101; Y02E 10/50 20130101, , , 
